
Red	1.0, 0.0, 0.0, 1.0
Dark Red	0.55, 0.0, 0.0, 1.0
Crimson	0.86, 0.08, 0.24, 1.0
Orange	1.0, 0.65, 0.0, 1.0
Gold	1.0, 0.84, 0.0, 1.0
Yellow	1.0, 1.0, 0.0, 1.0
Lime	0.0, 1.0, 0.0, 1.0
Green	0.0, 0.5, 0.0, 1.0
Dark Green	0.0, 0.39, 0.0, 1.0
Cyan	0.0, 1.0, 1.0, 1.0
Sky Blue	0.53, 0.81, 0.92, 1.0
Blue	0.0, 0.0, 1.0, 1.0
Navy	0.0, 0.0, 0.5, 1.0
Purple	0.5, 0.0, 0.5, 1.0
Magenta	1.0, 0.0, 1.0, 1.0
Pink	1.0, 0.75, 0.8, 1.0
Brown	0.65, 0.16, 0.16, 1.0
White	1.0, 1.0, 1.0, 1.0
Gray	0.5, 0.5, 0.5, 1.0
Black	0.0, 0.0, 0.0, 1.0
